#type       avg     min     1st     5th    10th    90th    95th    99th      QPS   target
read      619.0   621.9   228.8   344.7   376.2   763.1  1007.5  3294.0  59987.9    60000
read      747.9  1024.5   228.8   361.6   393.4   920.2  1674.3  5608.8  60214.5    60100
read      656.9   922.5   208.0   343.1   372.3   754.8  1110.5  4592.6  60142.5    60200
read      764.9  1275.8   208.0   342.0   374.1   950.8  1901.2  5581.8  60296.0    60300
read     1933.5  2313.0   251.6   389.3   433.2  5119.2  6833.6 10297.0  60488.5    60400
read     1099.2  1492.7   251.6   374.4   410.6  2172.3  3676.9  7618.6  60438.4    60500
read     1824.0  2089.8   251.6   399.7   438.0  4812.4  6117.0  9009.0  60329.8    60600
read     1510.1  1950.0   228.8   384.5   423.3  3839.5  5617.6  9410.6  60688.8    60700
read     2135.0  2022.2   251.6   461.2   522.0  4911.3  6176.0  9075.0  60792.8    60800
read     2658.2  2477.0   251.6   448.8   521.1  6101.1  7725.4 11343.6  60153.4    60900
read     3238.0  2565.3   276.8   705.9   888.0  6827.9  8337.8 12147.0  60999.7    61000
read     3104.4  2549.8   251.6   696.8   883.3  6447.1  8070.0 12122.6  60434.3    61100
read     3234.8  2660.6   251.6   690.9   892.8  7052.2  8449.0 12131.6  60641.4    61200
read     3332.9  2617.6   276.8   791.0   960.9  7002.2  8500.8 12307.6  60276.0    61300
read     3194.9  2483.4   276.8   794.6   970.5  6560.7  8173.1 11884.0  60337.2    61400
read     3442.3  2780.6   276.8   815.7   971.8  7116.8  8655.6 12588.7  60148.9    61500
read     3176.4  2458.9   251.6   778.7   958.9  6706.5  8201.9 11553.2  60685.4    61600
read     3157.9  2551.0   276.8   727.3   880.9  6791.0  8257.5 11804.9  61084.6    61700
read     3079.4  2523.6   276.8   715.0   857.7  6573.1  8103.9 11355.3  61636.9    61800
read     3170.6  2507.0   276.8   705.6   876.1  6863.3  8248.6 11642.5  61788.3    61900
read     3219.1  2587.6   251.6   725.5   889.1  6915.9  8421.5 12045.1  61661.7    62000
read     3153.3  2572.0   276.8   666.4   830.3  6944.7  8277.1 11425.1  60714.8    62100
read     3174.6  2561.3   276.8   732.8   883.8  6826.3  8290.3 12092.6  62042.8    62200
read     3088.6  2455.5   276.8   719.6   876.6  6594.5  8116.6 11666.2  61788.5    62300
read     3259.0  2665.1   276.8   713.1   873.5  7103.6  8483.4 12315.2  60304.3    62400
read     3040.3  2633.6   276.8   675.7   833.4  6449.3  7965.6 12110.1  61888.3    62500
read     3321.2  2857.1   304.5   704.3   869.7  7103.4  8663.5 12878.4  62242.5    62600
read     3251.7  2578.2   276.8   791.7   940.6  6961.7  8497.0 12155.1  61078.8    62700
read     2935.3  2167.6   251.6   822.3   986.5  5512.2  7443.2 11084.4  60897.1    62800
read     3350.9  2661.1   276.8   787.2   934.6  7116.5  8520.0 12200.4  60759.9    62900
read     3177.3  2558.8   276.8   706.1   869.3  6839.4  8277.5 12109.4  61836.7    63000
read     3226.5  2513.7   276.8   791.8   948.0  6863.3  8302.0 11706.6  61399.7    63100
read     3200.3  2648.4   251.6   702.5   844.9  7024.5  8425.2 12385.4  61136.5    63200
read     2943.8  2441.8   276.8   644.6   799.0  6296.7  7937.6 11504.8  63317.6    63300
read     2445.0  2572.4   228.8   385.1   442.0  6492.2  7917.8 10712.2  63375.3    63400
read      703.4   756.3   228.8   339.2   369.9  1065.8  1519.6  4165.4  63482.4    63500
read      643.9   875.1   228.8   343.5   373.0   773.5  1069.2  4005.5  63585.9    63600
read      728.6   815.0   228.8   383.8   422.4   892.2  1253.3  4369.3  63768.6    63700
read      710.7   875.5   189.1   343.6   374.8  1029.5  1456.3  4605.1  63902.5    63800
read      665.9  1736.6   228.8   354.5   386.8   789.2  1108.0  3812.6  63958.9    63900
read      701.5   828.5   228.8   351.4   386.8   850.5  1351.5  4845.3  64028.4    64000
read      678.7   899.0   228.8   345.0   376.6   806.9  1148.4  4998.2  64075.4    64100
read      683.6   807.8   228.8   363.2   395.9   830.7  1128.7  4192.6  64054.1    64200
read      785.2  1141.2   208.0   355.1   386.0  1015.3  2093.9  6254.4  64411.9    64300
read      677.3   763.9   228.8   366.0   397.5   818.5  1192.0  4328.9  64408.2    64400
read      659.8   837.8   228.8   353.1   383.7   786.7  1088.5  4026.5  64538.2    64500
read      663.3   750.2   228.8   349.0   379.4   804.7  1277.2  4296.1  64629.3    64600
read      626.4   701.1   208.0   352.5   382.9   750.9   989.8  3353.0  64628.3    64700
read      666.3   761.4   208.0   359.1   393.0   789.0  1135.9  4065.0  64701.0    64800
read      661.6   895.9   228.8   343.4   373.0   759.4  1178.8  4741.0  64836.9    64900
read      710.0   709.1   208.0   350.9   383.3  1010.7  1333.2  4069.6  65030.5    65000
read      690.2   782.0   251.6   372.4   405.2   845.9  1220.7  4316.6  65038.9    65100
read      704.4   693.2   228.8   370.7   406.1   950.6  1258.9  3581.4  65276.2    65200
read      633.2   702.7   228.8   342.6   373.5   783.1  1088.5  3396.0  65325.9    65300
read      733.1  1025.2   228.8   371.7   406.1   872.6  1282.9  5158.2  65385.6    65400
read      679.9   800.3   228.8   358.1   391.1   847.1  1192.2  4247.9  65434.5    65500
read      678.1   799.7   228.8   361.5   392.0   817.0  1235.5  4232.4  65537.4    65600
read      865.1  1076.7   251.6   398.8   439.6  1169.0  2205.9  6315.1  65689.3    65700
read      686.2   764.4   228.8   374.4   408.6   832.0  1125.7  4309.2  65727.1    65800
read      655.4   919.5   251.6   360.0   389.6   781.4  1057.3  3608.7  65820.4    65900
read      712.1   910.4   228.8   365.1   396.7   835.6  1396.7  5026.3  66016.5    66000
read      690.1   957.0   228.8   350.3   382.1   814.6  1232.0  4866.9  66010.1    66100
read      653.1   717.5   208.0   355.5   385.6   787.8  1149.4  3880.2  66171.0    66200
read      745.3  1054.9   228.8   362.9   395.0   872.6  1459.3  6008.9  66221.3    66300
read      808.7  3586.6   208.0   346.6   377.6  1107.5  1496.0  4226.3  63441.2    66400
read      725.8  2121.9   228.8   348.5   381.3   903.2  1326.4  4322.9  66425.0    66500
read      722.1   783.8   228.8   369.6   406.1   905.5  1304.5  4541.8  66571.1    66600
read      757.8  2350.5   208.0   351.8   383.3  1031.4  1483.1  4725.5  66700.3    66700
read      771.0  2166.9   228.8   370.5   404.8   944.1  1478.2  5102.9  66856.5    66800
read      701.4   810.7   228.8   358.2   389.7   876.0  1359.2  4665.7  66824.5    66900
read      669.5   779.7   251.6   359.3   390.5   859.1  1199.0  3557.5  67043.5    67000
read      857.1  1171.8   228.8   378.4   417.1  1174.2  2119.5  6422.7  67128.2    67100
read      711.3  1031.4   228.8   350.6   381.5   864.9  1308.7  5203.7  67119.1    67200
read      687.1   945.5   228.8   350.5   381.5   835.4  1268.5  4471.5  67348.8    67300
read      725.6  1956.8   208.0   357.7   390.7   865.4  1418.5  4753.7  67449.3    67400
read      666.0   741.7   208.0   362.1   391.4   841.9  1232.0  3854.2  67551.0    67500
read      762.3  1658.2   228.8   362.4   394.8   882.3  1431.8  5362.8  67701.4    67600
