#type       avg     min     1st     5th    10th    90th    95th    99th      QPS   target
read      925.3  1029.6   208.0   388.6   434.7  1421.7  1945.6  5291.0  59981.4    60000
read      716.8  1115.6   228.8   347.8   379.3   812.3  1372.4  5526.0  60165.1    60200
read      640.9   776.6   228.8   338.8   363.4   798.0  1222.1  4106.3  60333.3    60400
read      639.8   741.2   228.8   349.3   376.7   777.8  1153.7  4355.9  60583.7    60600
read      633.5   726.3   228.8   343.1   370.9   742.1  1227.0  4502.8  60852.8    60800
read      633.2   767.2   228.8   343.3   371.3   736.8  1177.8  4428.0  61035.9    61000
read      657.7   851.8   228.8   345.8   372.4   769.0  1318.4  5092.0  61219.2    61200
read      628.7   873.0   228.8   343.8   371.0   717.1  1146.2  4212.3  61399.6    61400
read      631.7   791.7   228.8   342.7   369.6   729.2  1180.0  4480.3  61647.4    61600
read      784.4  1011.8   228.8   372.5   406.1   981.9  1909.3  5731.8  61730.8    61800
read      663.4   740.2   228.8   358.7   387.1   804.4  1186.6  4106.0  62046.3    62000
read      612.1   627.6   228.8   348.5   375.9   724.0  1048.9  3855.3  62239.8    62200
read      650.5   864.8   228.8   349.2   376.1   757.9  1246.2  4526.7  62451.8    62400
read      621.3   781.5   228.8   340.7   365.5   719.7  1191.8  4447.9  62645.9    62600
read      693.0   682.4   251.6   364.6   394.3   916.8  1407.5  4245.3  62817.9    62800
read      678.5   864.1   228.8   348.9   377.3   812.6  1423.9  4990.6  62951.4    63000
read      641.2   701.3   228.8   349.7   378.0   768.7  1194.9  4259.4  63300.9    63200
read      663.1   757.2   228.8   352.5   382.1   819.4  1233.1  4447.5  63475.4    63400
read      715.1   945.5   251.6   364.9   393.5   830.7  1416.1  5601.0  63574.3    63600
read      648.4   709.5   208.0   349.8   382.0   785.0  1112.1  3910.7  63569.3    63800
read      657.6   848.7   228.8   341.2   370.9   776.3  1214.8  4718.7  63954.7    64000
read      664.7   866.1   208.0   335.2   365.0   788.5  1225.9  4691.7  64099.0    64200
read      645.9   747.7   228.8   349.6   379.1   775.8  1127.8  3969.3  64468.8    64400
read      815.3  1211.7   208.0   370.7   406.6  1029.9  1882.8  6085.1  64605.2    64600
read      746.7   995.0   228.8   372.7   409.4   892.9  1373.9  5232.0  64776.5    64800
read      688.0   963.8   228.8   339.8   368.8   812.3  1409.4  5176.1  65006.0    65000
read      729.9  1051.8   228.8   355.1   387.5   856.8  1665.0  5266.8  65241.9    65200
read      673.9   709.9   228.8   371.1   403.4   812.9  1234.9  4535.0  65351.2    65400
read      706.4   906.3   228.8   356.4   389.0   859.9  1290.6  4644.0  65546.7    65600
read      777.2   889.5   228.8   375.4   412.9  1021.4  1516.3  5273.6  65705.0    65800
read      670.7  1081.6   228.8   344.4   375.9   781.8  1108.3  4507.2  65985.1    66000
read      692.9   860.3   228.8   353.1   384.8   917.0  1254.3  4179.2  66221.0    66200
read      686.5   997.1   228.8   342.5   372.3   849.2  1374.3  4851.8  66416.9    66400
read      699.8   954.8   228.8   358.4   389.5   837.3  1279.6  4761.4  66640.8    66600
read      680.2   799.8   208.0   342.9   374.3   831.8  1423.4  4602.2  66801.5    66800
read      715.8   977.9   228.8   362.4   392.8   844.3  1371.1  5184.5  66979.0    67000
read      683.5   806.4   228.8   352.2   383.4   842.6  1338.8  4453.6  67174.7    67200
read      827.9  1245.4   228.8   363.1   395.4  1092.2  2065.7  7340.1  67292.2    67400
read      742.7   895.1   228.8   385.9   423.6   911.4  1271.2  4521.7  67606.0    67600
read      725.4   911.6   208.0   360.7   395.1   890.8  1434.3  5303.1  67842.7    67800
read      704.7  1055.5   228.8   359.6   390.2   813.5  1418.7  5019.1  67904.6    68000
read      705.4   925.8   228.8   352.0   383.8   843.9  1417.5  5392.7  68153.9    68200
read      709.6   961.2   228.8   355.8   387.1   843.9  1384.0  5177.1  68292.4    68400
read      780.7   957.3   251.6   377.0   413.5  1015.8  1566.3  4901.9  68701.8    68600
read      726.2   879.0   228.8   376.1   410.1   928.9  1495.8  4397.2  68820.7    68800
read      715.5  1073.5   228.8   352.7   384.2   828.9  1356.7  5633.4  69119.3    69000
read      731.8   967.6   228.8   357.9   388.6   942.2  1527.2  5567.0  69205.8    69200
read      682.1   796.4   228.8   354.2   386.4   847.6  1305.3  4274.2  69405.6    69400
read      700.5   860.7   228.8   358.0   389.7   854.6  1417.9  5094.5  69546.0    69600
read      709.1   871.4   228.8   354.4   386.4   868.3  1467.7  4925.4  69892.9    69800
read      705.9   878.8   228.8   363.9   396.5   853.7  1393.0  4684.1  69944.6    70000
