#type       avg     min     1st     5th    10th    90th    95th    99th      QPS   target
read      727.1   786.7   228.8   385.1   420.1   928.5  1353.0  4515.9  60068.8    60000
read      849.4  1190.8   251.6   419.7   463.4  1042.0  1437.3  5578.1  60219.4    60200
read      766.1   779.3   251.6   405.9   438.5  1073.8  1483.3  4267.8  60356.7    60400
read      790.6   921.5   251.6   404.1   438.9  1062.1  1515.6  4798.6  60746.5    60600
read      716.0   997.7   228.8   378.6   408.7   859.6  1361.2  5146.1  60769.4    60800
read      670.6   769.0   208.0   364.9   391.4   808.6  1251.8  4626.0  61042.2    61000
read      691.1  1005.3   228.8   358.2   387.2   810.2  1269.5  5131.0  61184.1    61200
read      676.2   791.4   228.8   373.8   405.6   804.1  1207.4  4377.1  61429.6    61400
read      653.5   698.9   251.6   374.2   403.1   802.6  1059.0  3684.7  61670.1    61600
read      694.7   901.3   228.8   362.5   390.3   839.1  1417.4  4990.3  61785.6    61800
read     3350.1 27795.3   228.8   373.2   403.7   974.0  1903.8 113225.0  62026.4    62000
read      692.5  1179.1   228.8   360.8   386.9   804.5  1286.5  4851.8  62290.5    62200
read      680.2   799.7   251.6   376.6   407.7   801.0  1153.1  4304.6  62326.7    62400
read      749.0  1045.9   251.6   404.7   433.0   904.8  1340.4  5093.5  62543.4    62600
read      714.8   912.5   228.8   372.5   401.2   864.1  1550.9  5286.8  62790.7    62800
read      687.3   753.4   228.8   373.3   405.1   853.7  1209.8  4344.9  62957.3    63000
read      686.7   797.6   228.8   367.7   397.0   854.7  1233.1  4288.7  63103.8    63200
read      745.2   905.3   228.8   370.9   404.5   941.2  1356.4  4761.0  63434.1    63400
read      636.7   719.0   228.8   363.5   390.4   758.9  1041.9  3808.8  63556.2    63600
read      683.7   810.3   228.8   364.1   391.0   833.6  1423.1  4543.6  63688.9    63800
read      682.7   904.1   228.8   362.7   390.6   796.6  1275.5  5094.7  63982.7    64000
read      666.5   889.2   228.8   364.6   391.1   774.0  1200.3  4483.2  64160.2    64200
read      693.2   816.4   228.8   368.3   398.7   846.8  1247.9  4526.3  64313.2    64400
read      695.9   829.4   228.8   367.0   402.4   845.6  1211.4  4602.4  64649.0    64600
read      718.9   917.9   251.6   371.8   405.8   863.1  1321.3  4684.8  64719.8    64800
read      696.4   882.1   228.8   369.7   405.2   819.5  1177.6  4721.6  64909.4    65000
read      715.2   964.8   228.8   356.4   390.8   860.9  1270.3  4742.4  65167.6    65200
read      721.7   946.4   228.8   381.0   415.6   850.2  1234.6  4788.6  65405.6    65400
read      779.4   939.9   228.8   382.7   419.1   994.7  1715.6  5303.1  65552.1    65600
read      708.6   753.8   251.6   397.9   433.0   855.0  1167.5  3990.8  65725.3    65800
read      825.6  1132.8   251.6   415.1   458.4   991.4  1415.1  5240.6  65933.8    66000
read      777.0   986.4   228.8   377.3   413.7  1008.8  1444.6  5295.1  66098.3    66200
read      687.3   917.3   228.8   352.1   382.8   828.3  1211.6  4796.0  66401.6    66400
read      709.7   898.7   228.8   366.6   399.4   861.0  1221.3  4685.1  66630.0    66600
read      699.7   885.5   251.6   369.8   399.8   833.5  1262.8  4739.8  66760.3    66800
read      719.7   975.7   228.8   373.9   407.6   846.4  1288.5  5070.1  67067.1    67000
read      677.7   730.3   208.0   376.7   412.3   809.6  1118.1  4023.7  67158.8    67200
read      720.0   943.4   228.8   372.6   408.4   865.8  1225.3  4720.6  67408.6    67400
read      718.6  1000.0   228.8   370.1   403.9   838.9  1281.8  5336.4  67496.1    67600
read      723.0   867.6   251.6   381.2   416.3   864.6  1348.8  4707.4  67773.0    67800
read      683.9   836.9   228.8   369.5   401.9   838.3  1163.2  3963.5  67955.2    68000
read      716.1   955.2   228.8   371.8   403.7   866.7  1325.0  4315.4  68235.9    68200
read      840.8  1124.6   228.8   381.4   418.8  1208.1  1990.1  6193.4  68382.6    68400
read      716.1  1062.2   208.0   354.6   388.6   826.5  1319.8  5534.0  68695.8    68600
read      738.0   811.9   228.8   370.0   406.2   971.3  1456.6  4749.1  68882.9    68800
read      721.3   868.3   228.8   361.1   395.1   906.1  1394.7  4736.8  68970.4    69000
read      725.1   747.2   228.8   374.7   410.2   964.0  1338.9  3934.6  69214.1    69200
read      700.9   882.0   228.8   353.7   385.9   885.9  1307.0  4472.1  69408.9    69400
read      719.2   966.8   208.0   363.5   393.1   855.7  1502.7  5254.0  69570.4    69600
read      698.4   781.6   251.6   370.0   402.7   889.3  1326.9  3886.7  69835.5    69800
read      700.2   846.0   228.8   356.9   387.9   871.2  1392.7  4776.0  69978.4    70000
