#type       avg     min     1st     5th    10th    90th    95th    99th      QPS   target
read      645.9   823.4   208.0   336.2   366.9   793.9   974.1  3230.0  59987.1    60000
read      625.2   681.8   189.1   335.3   368.1   762.2   989.2  3310.9  60290.0    60400
read      623.7   713.5   208.0   326.0   355.9   756.1   989.5  3779.4  60789.7    60800
read      644.6   757.9   208.0   340.6   376.9   785.7  1008.7  3276.0  61171.5    61200
read      758.9  1187.0   228.8   367.9   401.2   911.4  1345.4  5222.4  61611.3    61600
read      678.1   738.7   208.0   330.7   358.7  1067.1  1502.9  3870.6  62009.9    62000
read      560.1   593.1   208.0   318.7   344.9   662.7   929.3  3193.1  62444.8    62400
read      584.9   636.5   208.0   320.3   347.3   709.2  1078.9  3614.8  62711.8    62800
read      612.9   779.8   228.8   323.4   350.2   715.0  1169.2  4272.2  63186.3    63200
read      582.0   601.0   208.0   333.4   359.8   702.6   987.2  3208.6  63540.9    63600
read      652.5   821.9   208.0   341.8   370.6   767.6  1395.7  4870.3  63957.0    64000
read      572.3   592.4   228.8   328.7   356.1   688.8   891.7  3069.5  64373.3    64400
read      585.0   635.5   189.1   328.4   354.1   706.6  1047.9  3287.2  64855.0    64800
read      606.9   707.2   228.8   336.3   364.8   730.2  1091.2  3651.8  65213.8    65200
read      607.5   669.4   228.8   335.6   361.9   748.5  1118.8  3241.1  65551.4    65600
read      613.8   842.5   208.0   322.6   349.9   736.5  1120.2  4139.9  66006.2    66000
read      607.8   781.2   208.0   318.9   345.0   710.4  1149.9  4379.7  66370.9    66400
read      607.4   707.0   208.0   328.5   356.7   737.6  1166.0  3793.2  66787.9    66800
read      694.4   846.6   228.8   368.4   402.2   847.0  1278.5  3909.5  67191.6    67200
read      629.4   735.1   208.0   335.8   364.7   760.3  1172.1  3924.1  67582.0    67600
read      647.3   845.8   208.0   337.1   369.4   762.2  1124.5  4381.3  67986.9    68000
read      680.5   884.8   208.0   333.5   368.5   856.2  1324.9  4168.4  68556.0    68400
read      634.6   728.0   228.8   334.7   362.5   803.0  1180.5  3460.1  68757.1    68800
read      694.0   959.0   228.8   344.8   379.5   843.5  1254.1  4515.7  69191.5    69200
read      746.4  1134.1   208.0   336.6   369.3   975.1  1771.6  5531.3  69654.4    69600
read      613.5   660.7   208.0   327.5   357.5   760.6  1031.4  3535.8  69984.5    70000
