#type       avg     min     1st     5th    10th    90th    95th    99th      QPS   target
read      646.3   836.8   228.8   336.3   367.7   765.8   999.3  4091.3  59937.2    60000
read      613.6   956.3   208.0   319.2   346.7   719.3   957.7  3633.5  60344.7    60400
read      633.4   726.7   228.8   358.8   386.0   739.5  1075.5  4157.1  60797.7    60800
read      659.5  1298.8   228.8   331.5   356.9   713.2  1097.8  4886.2  61136.1    61200
read      656.0   846.5   228.8   347.7   377.5   774.9  1221.7  4444.9  61550.5    61600
read      612.4   802.6   228.8   327.5   353.3   702.8  1093.2  4447.5  62030.3    62000
read      637.9   773.2   228.8   340.3   371.5   793.0  1177.0  3577.7  62376.4    62400
read      591.3   791.9   208.0   314.6   340.2   688.3  1006.3  4324.9  62806.3    62800
read      679.0   757.4   208.0   358.9   393.3   845.2  1112.9  3969.4  63179.0    63200
read      619.6   618.8   208.0   336.3   368.4   804.8  1122.6  3230.5  63624.0    63600
read      664.2   894.6   208.0   330.5   358.5   800.9  1482.0  4889.3  63957.9    64000
read      599.1   653.8   228.8   337.1   362.2   718.4  1059.0  3447.8  64401.9    64400
read      599.3   767.4   228.8   329.8   356.0   707.5   976.8  3547.5  64734.8    64800
read      634.6   981.6   208.0   332.4   358.3   731.2  1157.8  4304.6  65327.1    65200
read      587.0   681.5   228.8   321.9   349.2   711.6  1025.9  3453.9  65685.1    65600
read      618.9   875.8   228.8   333.0   360.7   735.4  1083.4  3441.7  65927.0    66000
read      662.2   847.5   208.0   339.3   368.3   792.3  1308.1  4719.2  66375.6    66400
read      634.5  1065.3   189.1   329.1   356.7   757.7  1079.1  3822.1  66785.1    66800
read      691.3   914.4   228.8   331.2   358.0   855.4  1348.9  5084.5  67218.9    67200
read      723.3  1112.2   208.0   350.9   388.6   861.2  1257.4  4849.9  67462.5    67600
read      635.7   730.5   228.8   336.6   367.7   767.8  1046.1  3724.8  67892.0    68000
read      679.6   866.0   208.0   330.8   362.1   842.8  1243.1  4262.2  68380.1    68400
read      743.9   843.2   208.0   363.9   406.9   968.3  1288.5  4436.3  68869.8    68800
read      663.5   902.8   208.0   329.1   358.0   801.4  1142.2  4177.8  69108.4    69200
read      788.1   985.1   228.8   351.3   389.2  1052.3  1785.3  5440.9  69618.7    69600
read      702.6   917.5   208.0   346.4   380.6   887.2  1350.7  4537.6  69925.2    70000
